2025-06-24,-50.00,Groceries,Dinner at Olive Garden
2025-06-24,-30.00,Food,tacos
2025-06-21,-117.11,Travel,Train ticket
2025-06-19,-77.49,Shopping,Bought new shoes
2025-06-18,-90.07,Groceries,Supermarket visit
2025-06-17,-119.69,Travel,Gas refill
2025-06-16,-121.87,Shopping,Amazon order
2025-06-15,-94.42,Food,Groceries at Whole Foods
2025-06-14,-61.31,Shopping,Amazon order
2025-06-13,-114.39,Entertainment,Movie tickets
2025-06-12,-56.01,Travel,Gas refill
2025-06-11,-107.54,Groceries,Supermarket visit
2025-06-10,-12.93,Shopping,Amazon order
2025-06-09,-64.65,Other,Uncategorized expense
2025-06-08,-102.65,Other,Random purchase
2025-06-07,-129.98,Groceries,Supermarket visit
2025-06-06,622.29,Income,Freelance work
2025-06-05,-141.07,Food,Lunch at Subway
2025-06-04,-28.95,Food,Lunch at Subway
2025-06-03,933.66,Income,Freelance work
2025-06-02,-141.51,Travel,Flight to NYC
2025-06-01,-96.90,Shopping,Bought new shoes
2025-05-31,-140.10,Shopping,Clothes from H&M
2025-05-30,333.99,Income,Paycheck
2025-05-29,-67.17,Shopping,Clothes from H&M
2025-05-28,-74.95,Groceries,Organic food store
2025-05-27,-104.03,Other,Miscellaneous expense
2025-05-26,-80.47,Shopping,Clothes from H&M
2025-05-25,-90.99,Shopping,Clothes from H&M
2025-05-24,448.29,Income,Freelance work
2025-05-23,-82.13,Shopping,Amazon order
2025-05-22,-19.84,Entertainment,Netflix subscription
2025-05-21,-103.43,Other,Uncategorized expense
2025-05-20,-119.00,Entertainment,Movie tickets
2025-05-19,-144.47,Groceries,Weekly groceries
2025-05-18,-93.82,Health,Pharmacy purchase
2025-05-17,-147.20,Shopping,Bought new shoes
2025-05-16,-132.18,Shopping,Amazon order
2025-05-15,-54.33,Groceries,Organic food store
2025-05-14,-20.19,Shopping,Clothes from H&M
2025-05-13,-87.43,Health,Doctor visit
2025-05-12,-54.73,Health,Pharmacy purchase
2025-05-11,154.18,Income,Freelance work
2025-05-10,-101.05,Food,Dinner at Olive Garden
2025-05-09,-103.00,Utilities,Water bill
2025-05-08,-111.33,Health,Pharmacy purchase
2025-05-07,321.02,Income,Freelance work
2025-05-06,-19.58,Health,Gym membership
2025-05-05,961.58,Income,Freelance work
2025-05-04,-86.33,Health,Gym membership
2025-05-03,-48.19,Utilities,Water bill
2025-05-02,-55.03,Utilities,Internet payment
2025-05-01,-51.16,Other,Random purchase
2025-04-30,-130.88,Utilities,Water bill
2025-04-29,490.78,Income,Freelance work
2025-04-28,-83.42,Health,Gym membership
2025-04-27,-125.52,Other,Miscellaneous expense
2025-04-26,-47.29,Travel,Flight to NYC
2025-04-25,-127.41,Shopping,Clothes from H&M
2025-04-24,270.86,Income,Paycheck
2025-04-23,-84.98,Other,Random purchase
2025-04-22,-140.92,Utilities,Electric bill
2025-04-21,-79.46,Utilities,Electric bill
2025-04-20,-119.06,Entertainment,Movie tickets
2025-04-19,-14.88,Travel,Gas refill
2025-04-18,-108.23,Food,Lunch at Subway
2025-04-17,-25.38,Entertainment,Netflix subscription
2025-04-16,-111.41,Food,Groceries at Whole Foods
2025-04-15,-136.70,Food,Groceries at Whole Foods
2025-04-14,-140.17,Food,Lunch at Subway
2025-04-13,599.09,Income,Investment return
2025-04-12,649.70,Income,Paycheck
2025-04-11,-51.21,Health,Pharmacy purchase
2025-04-10,-31.40,Shopping,Clothes from H&M
2025-04-09,-38.43,Shopping,Bought new shoes
2025-04-08,-113.55,Travel,Gas refill
2025-04-07,-12.34,Groceries,Supermarket visit
2025-04-06,-148.21,Health,Gym membership
2025-04-05,-63.77,Food,Lunch at Subway
2025-04-04,-57.21,Health,Pharmacy purchase
2025-04-03,-132.67,Health,Gym membership
2025-04-02,-71.15,Utilities,Water bill
2025-04-01,-98.63,Health,Gym membership
2025-03-31,-57.81,Health,Doctor visit
2025-03-30,-86.48,Shopping,Clothes from H&M
2025-03-29,-32.94,Utilities,Water bill
2025-03-28,-99.66,Food,Groceries at Whole Foods
2025-03-27,-87.85,Other,Random purchase
2025-03-26,-16.24,Other,Miscellaneous expense
2025-03-25,-37.69,Utilities,Internet payment
2025-03-24,-86.90,Entertainment,Concert tickets
2025-03-23,-139.31,Health,Pharmacy purchase
2025-03-22,828.09,Income,Paycheck
2025-03-21,999.95,Income,Paycheck
2025-03-20,-61.99,Utilities,Water bill
2025-03-19,-129.27,Other,Uncategorized expense
2025-03-18,-121.13,Utilities,Internet payment
2025-03-17,-16.69,Health,Doctor visit
2025-03-16,-88.14,Food,Dinner at Olive Garden
2025-03-15,-14.19,Entertainment,Concert tickets
2025-03-14,-100.26,Health,Pharmacy purchase
2025-03-13,-136.26,Entertainment,Movie tickets
2025-03-12,-88.79,Shopping,Amazon order
2025-03-11,-79.03,Shopping,Clothes from H&M
2025-03-10,-108.97,Groceries,Weekly groceries
2025-03-09,-114.90,Shopping,Clothes from H&M
2025-03-08,-19.91,Shopping,Clothes from H&M
2025-03-07,-114.73,Health,Gym membership
2025-03-06,743.25,Income,Paycheck
2025-03-05,-143.62,Shopping,Bought new shoes
2025-03-04,-38.94,Other,Uncategorized expense
2025-03-03,-122.93,Groceries,Supermarket visit
2025-03-02,-123.33,Entertainment,Concert tickets
2025-03-01,-19.23,Other,Uncategorized expense
2025-02-28,-122.17,Shopping,Amazon order
2025-02-27,-20.95,Food,Dinner at Olive Garden
2025-02-26,-52.72,Shopping,Clothes from H&M
2025-02-25,764.69,Income,Paycheck
2025-02-24,-74.57,Health,Doctor visit
2025-02-23,-22.39,Groceries,Weekly groceries
2025-02-22,-19.68,Groceries,Supermarket visit
2025-02-21,475.47,Income,Paycheck
2025-02-20,-134.79,Food,Groceries at Whole Foods
2025-02-19,-23.70,Other,Random purchase
2025-02-18,-70.28,Utilities,Internet payment
2025-02-17,-29.68,Utilities,Water bill
2025-02-16,-25.29,Entertainment,Concert tickets
2025-02-15,-134.13,Utilities,Water bill
2025-02-14,-78.39,Other,Miscellaneous expense
2025-02-13,-13.71,Other,Uncategorized expense
2025-02-12,332.66,Income,Investment return
2025-02-11,-90.57,Health,Gym membership
2025-02-10,901.65,Income,Paycheck
2025-02-09,477.36,Income,Paycheck
2025-02-08,-87.40,Utilities,Electric bill
2025-02-07,-76.24,Travel,Flight to NYC
2025-02-06,-130.80,Food,Lunch at Subway
2025-02-05,-98.11,Shopping,Clothes from H&M
2025-02-04,-25.79,Travel,Train ticket
2025-02-03,-42.17,Utilities,Water bill
2025-02-02,-148.13,Utilities,Internet payment
2025-02-01,-97.53,Groceries,Organic food store
2025-01-31,-28.01,Health,Pharmacy purchase
2025-01-30,-82.38,Health,Doctor visit
2025-01-29,841.56,Income,Freelance work
2025-01-28,-11.27,Entertainment,Concert tickets
2025-01-27,-108.13,Entertainment,Netflix subscription
2025-01-26,-143.21,Entertainment,Netflix subscription
2025-01-25,-120.31,Shopping,Amazon order
2025-01-24,-62.04,Shopping,Clothes from H&M
2025-01-23,-117.26,Groceries,Organic food store
2025-01-22,-50.96,Other,Random purchase
2025-01-21,-110.08,Food,Groceries at Whole Foods
2025-01-20,-147.41,Shopping,Bought new shoes
2025-01-19,459.94,Income,Freelance work
2025-01-18,-114.48,Travel,Gas refill
2025-01-17,-84.39,Groceries,Organic food store
2025-01-16,-101.98,Food,Dinner at Olive Garden
2025-01-15,-72.98,Health,Gym membership
2025-01-14,-20.18,Utilities,Electric bill
2025-01-13,-125.02,Utilities,Water bill
2025-01-12,-79.43,Health,Doctor visit
2025-01-11,-33.71,Groceries,Supermarket visit
2025-01-10,-104.25,Utilities,Electric bill
2025-01-09,-38.85,Groceries,Supermarket visit
2025-01-08,-61.65,Groceries,Weekly groceries
2025-01-07,-34.87,Shopping,Amazon order
2025-01-06,-21.53,Entertainment,Movie tickets
2025-01-05,576.70,Income,Paycheck
2025-01-04,-93.49,Food,Lunch at Subway
2025-01-03,-116.64,Shopping,Clothes from H&M
2025-01-02,-31.23,Travel,Flight to NYC
2025-01-01,-108.32,Travel,Train ticket
2024-12-31,113.60,Income,Paycheck
2024-12-30,440.28,Income,Paycheck
2024-12-29,-68.17,Groceries,Supermarket visit
2024-12-28,-103.92,Entertainment,Concert tickets
2024-12-27,-41.28,Other,Random purchase
2024-12-26,-25.28,Food,Lunch at Subway
2024-12-25,-11.21,Entertainment,Netflix subscription
